,pair,i,dist,ln(dj)
0,"[0, 233]",0,2.5009798079952565,0.9166825782904221
1,"[0, 233]",1,1.756473740196544,0.5633082425388595
2,"[0, 233]",2,1.880877454806606,0.6317383992368023
3,"[0, 233]",3,1.653662601620877,0.5029925864463357
4,"[0, 233]",4,1.5100331122195796,0.41213157920864235
5,"[0, 233]",5,2.2882526084327797,0.827788473206839
6,"[0, 233]",6,2.604035330021346,0.9570622918508068
7,"[0, 233]",7,2.0447982785594965,0.7152991433381932
8,"[0, 233]",8,2.1219802072591456,0.7523497127492078
9,"[0, 233]",9,2.0712556578075927,0.7281550213457764
10,"[0, 233]",10,1.8695988874623601,0.6257239091751327
11,"[0, 233]",11,1.1950732195142304,0.17820745506647406
12,"[0, 233]",12,0.8649277426466322,-0.14510931005202338
13,"[0, 233]",13,1.6981166037700903,0.5295197567740854
14,"[0, 233]",14,1.7833956375409419,0.5785192085683708
15,"[0, 233]",15,0.8112336284943634,-0.2091991917599324
16,"[0, 233]",16,0.7261542535853399,-0.3199928162227786
17,"[0, 233]",17,0.45099889135101906,-0.7962903976842116
18,"[0, 233]",18,0.6902897942170817,-0.37064377794366626
19,"[0, 233]",19,0.5188448708429504,-0.6561503406057119
20,"[0, 233]",20,0.7764663547121368,-0.2530019667434269
21,"[0, 233]",21,1.4066271716412948,0.3411947619533886
22,"[0, 233]",22,1.7708754896943355,0.571474051244105
23,"[0, 233]",23,1.6602710622063555,0.5069808795237679
24,"[0, 233]",24,1.7607100840286065,0.565717184517672
25,"[1, 233]",0,1.6735889578984244,0.5149703970526621
26,"[1, 233]",1,1.5068510211697104,0.4100220568741919
27,"[1, 233]",2,1.402925514772463,0.3385597097412675
28,"[1, 233]",3,1.443121616496595,0.36680855655676814
29,"[1, 233]",4,2.116246677492867,0.7496440844665117
30,"[1, 233]",5,2.6826293072280736,0.986797398360223
31,"[1, 233]",6,2.0308865059377252,0.7084724001593177
32,"[1, 233]",7,2.2366045694309236,0.8049588986354043
33,"[1, 233]",8,2.0824024587000265,0.73352225540249
34,"[1, 233]",9,1.9388914358468525,0.6621163849286418
35,"[1, 233]",10,1.3013838787999743,0.2634282204193968
36,"[1, 233]",11,0.8485281374237605,-0.16425203348613174
37,"[1, 233]",12,1.414001414426437,0.34642356777546274
38,"[1, 233]",13,1.8284966502566833,0.6034941266431835
39,"[1, 233]",14,0.9749358953284355,-0.025383558526901225
40,"[1, 233]",15,0.7940403012444268,-0.2306210617883117
41,"[1, 233]",16,0.4215447781669868,-0.8638292719111761
42,"[1, 233]",17,0.5651548460379415,-0.5706555216003473
43,"[1, 233]",18,0.7117583859711306,-0.34001677070705516
44,"[1, 233]",19,0.7818567643756823,-0.24608372097371953
45,"[1, 233]",20,1.3790576492662205,0.32140040306151774
46,"[1, 233]",21,1.8388311504866017,0.609130125466985
47,"[1, 233]",22,1.6660432167263244,0.5104514838201637
48,"[1, 233]",23,1.6479381056339337,0.4995248735210258
49,"[1, 233]",24,1.5524174696260462,0.4398133737513101
50,"[2, 83]",0,1.3986421987055395,0.33550190793709345
51,"[2, 83]",1,1.365283853269852,0.31136235813153196
52,"[2, 83]",2,1.610279478848306,0.4764077532782582
53,"[2, 83]",3,2.6315394733880324,0.9675690260366551
54,"[2, 83]",4,3.0709281984441867,1.1219798606722298
55,"[2, 83]",5,2.2314345161801343,0.8026446594538904
56,"[2, 83]",6,2.5357050301641726,0.9304717167833491
57,"[2, 83]",7,3.020595967685828,1.1054541522110644
58,"[2, 83]",8,2.90056890971422,1.0649068935160038
59,"[2, 83]",9,2.412819926973594,0.880796157655815
60,"[2, 83]",10,1.8398097727754938,0.6096621819152181
61,"[2, 83]",11,2.4610770000144555,0.9005990590196009
62,"[2, 83]",12,2.709778588741105,0.9968669299823064
63,"[2, 83]",13,2.2847319317592443,0.8262487009473051
64,"[2, 83]",14,2.249555511651234,0.8107326463234533
65,"[2, 83]",15,2.1070595625181543,0.7452934032967968
66,"[2, 83]",16,1.4106027080647543,0.3440170655864653
67,"[2, 83]",17,0.989545350148276,-0.010509683611999795
68,"[2, 83]",18,0.14317821063285563,-1.943665196418244
69,"[2, 83]",19,1.0720074626604355,0.06953302406135292
70,"[2, 83]",20,1.6881350656862941,0.5236244081897176
71,"[2, 83]",21,2.1470910553582683,0.7641139285042224
72,"[2, 83]",22,2.469838051371107,0.9041525822438102
73,"[2, 83]",23,2.166679487141644,0.7731958053582728
74,"[2, 83]",24,2.5751310646256202,0.9459004317041313
75,"[3, 233]",0,0.919238815542351,-0.08420932581265653
76,"[3, 233]",1,0.9027181176867954,-0.10234493632798695
77,"[3, 233]",2,1.8725650856511618,0.6273091944973773
78,"[3, 233]",3,2.4145600013251913,0.8815170764369368
79,"[3, 233]",4,1.828879438344636,0.6037034505300779
80,"[3, 233]",5,2.2561028345355183,0.8136389152811371
81,"[3, 233]",6,2.204381999563534,0.7904471973083987
82,"[3, 233]",7,2.055480479109451,0.7205096304045707
83,"[3, 233]",8,1.3671868928571216,0.3127552659221501
84,"[3, 233]",9,1.0223991392797405,0.02215196277824027
85,"[3, 233]",10,1.548063306199119,0.43700466980880515
86,"[3, 233]",11,1.560288434873538,0.4448706983203328
87,"[3, 233]",12,0.7271863585078777,-0.31857249522237974
88,"[3, 233]",13,1.0210778618695138,0.020858796675942804
89,"[3, 233]",14,0.559732078766073,-0.5802970405123317
90,"[3, 233]",15,0.2707397274135982,-1.3065973350448377
91,"[3, 233]",16,0.4751841748206865,-0.7440528136332507
92,"[3, 233]",17,1.0912378292563236,0.08731267507976452
93,"[3, 233]",18,1.5805062480103051,0.4577452058516153
94,"[3, 233]",19,1.9024457942343997,0.643140318486778
95,"[3, 233]",20,1.8999473676919747,0.6418261845739589
96,"[3, 233]",21,1.9143667360253485,0.6493868817952448
97,"[3, 233]",22,1.4401388821917211,0.3647395549037691
98,"[3, 233]",23,1.5654072952430127,0.4481460426837417
99,"[3, 233]",24,0.7002856560005087,-0.3562669471800036
